entrez	symbol	CMPO
1112	FOXN3	CMPO:0000157
11123	RCAN3	CMPO:0000182
11123	RCAN3	CMPO:0000213
11124	FAF1	CMPO:0000182
11124	FAF1	CMPO:0000318
11128	POLR3A	CMPO:0000182
11130	NA	CMPO:0000326
11130	NA	CMPO:0000213
11130	NA	CMPO:0000157
11132	CAPN10	CMPO:0000361
11135	CDC42EP1	CMPO:0000318
11135	CDC42EP1	CMPO:0000319
11138	TBC1D8	CMPO:0000182
11140	CDC37	CMPO:0000319
11140	CDC37	CMPO:0000182
11143	KAT7	CMPO:0000182
11145	PLA2G16	CMPO:0000182
11146	GLMN	CMPO:0000182
11148	HHLA2	CMPO:0000182
11148	HHLA2	CMPO:0000318
11153	FICD	CMPO:0000246
11154	AP4S1	CMPO:0000318
11154	AP4S1	CMPO:0000319
11157	LSM6	CMPO:0000182
11158	RABL2B	CMPO:0000318
11159	RABL2A	CMPO:0000318
11160	ERLIN2	CMPO:0000182
11163	NUDT4	CMPO:0000319
11163	NUDT4	CMPO:0000318
11167	FSTL1	CMPO:0000118
11167	FSTL1	CMPO:0000318
11168	PSIP1	CMPO:0000083
11176	BAZ2A	CMPO:0000083
11176	BAZ2A	CMPO:0000030
11177	BAZ1A	CMPO:0000157
11178	LZTS1	CMPO:0000319
11184	MAP4K1	CMPO:0000318
11194	ABCB8	CMPO:0000083
11194	ABCB8	CMPO:0000157
11196	SEC23IP	CMPO:0000318
11197	WIF1	CMPO:0000318
11211	FZD10	CMPO:0000182
11213	NA	CMPO:0000182
11216	AKAP10	CMPO:0000246
11216	AKAP10	CMPO:0000318
11227	GALNT5	CMPO:0000202
11227	GALNT5	CMPO:0000213
11227	GALNT5	CMPO:0000156
1123	CHN1	CMPO:0000318
1123	CHN1	CMPO:0000346
1123	CHN1	CMPO:0000345
11232	POLG2	CMPO:0000318
11235	PDCD10	CMPO:0000318
11235	PDCD10	CMPO:0000319
112398	EGLN2	CMPO:0000345
112398	EGLN2	CMPO:0000213
112398	EGLN2	CMPO:0000319
112398	EGLN2	CMPO:0000202
112398	EGLN2	CMPO:0000157
11245	GPR176	CMPO:0000182
11248	NXPH3	CMPO:0000182
11251	PTGDR2	CMPO:0000318
11253	MAN1B1	CMPO:0000182
11254	SLC6A14	CMPO:0000083
11254	SLC6A14	CMPO:0000319
112574	SNX18	CMPO:0000362
112609	MRAP2	CMPO:0000182
11267	SNF8	CMPO:0000202
11267	SNF8	CMPO:0000348
11267	SNF8	CMPO:0000307
11269	DDX19B	CMPO:0000182
112752	IFT43	CMPO:0000318
112755	STX1B	CMPO:0000319
112755	STX1B	CMPO:0000318
112770	GLMP	CMPO:0000319
112770	GLMP	CMPO:0000318
1128	CHRM1	CMPO:0000140
11281	POU6F2	CMPO:0000140
11281	POU6F2	CMPO:0000182
11281	POU6F2	CMPO:0000030
11282	MGAT4B	CMPO:0000157
11282	MGAT4B	CMPO:0000326
11282	MGAT4B	CMPO:0000182
11282	MGAT4B	CMPO:0000348
11282	MGAT4B	CMPO:0000319
11282	MGAT4B	CMPO:0000213
11284	PNKP	CMPO:0000318
1129	CHRM2	CMPO:0000236
112939	NACC1	CMPO:0000318
112950	MED8	CMPO:0000182
113	ADCY7	CMPO:0000154
1130	LYST	CMPO:0000319
1130	LYST	CMPO:0000318
11309	SLCO2B1	CMPO:0000140
11309	SLCO2B1	CMPO:0000345
1131	CHRM3	CMPO:0000318
113130	CDCA5	CMPO:0000154
113130	CDCA5	CMPO:0000156
113130	CDCA5	CMPO:0000157
113130	CDCA5	CMPO:0000071
113130	CDCA5	CMPO:0000329
113130	CDCA5	CMPO:0000326
113130	CDCA5	CMPO:0000182
113130	CDCA5	CMPO:0000202
113130	CDCA5	CMPO:0000348
113130	CDCA5	CMPO:0000305
113130	CDCA5	CMPO:0000340
11315	PARK7	CMPO:0000182
11317	RBPJL	CMPO:0000319
11317	RBPJL	CMPO:0000182
113189	CHST14	CMPO:0000237
113189	CHST14	CMPO:0000182
11319	ECD	CMPO:0000318
11319	ECD	CMPO:0000319
11319	ECD	CMPO:0000307
11325	DDX42	CMPO:0000182
11325	DDX42	CMPO:0000118
113278	SLC52A3	CMPO:0000345
